weight,Gender,vitamins,cook,cuisine,nutritional_check,cuisine_encoded,normalized_nutritional_check,discretized_normalized_nutritional_check
185.0,2,1,5.0,italian ,3,17,0.5,Moderate
155.0,2,1,4.0,Asian ,3,18,0.5,Moderate
140.0,1,1,3.0,Asian,3,44,0.5,Moderate
150.0,1,2,2.0,american ,3,40,0.5,Moderate
150.0,1,2,3.0,Italian or Chinese ,3,29,0.5,Moderate
140.0,2,2,3.0,Italian ,3,4,0.5,Moderate
170.0,1,2,2.786885246,Italian,3,1,0.5,Moderate
100.0,1,1,3.0,chinese,3,30,0.5,Moderate
160.0,1,2,3.0,Italian,3,1,0.5,Moderate
167.0,1,1,1.0,Mexican cuisine,5,43,1.0,Low
175.0,2,1,2.786885246,Mexican,5,15,1.0,Low
190.0,1,1,2.0,Chinese food,5,45,1.0,Low
187.0,2,1,2.0,Arabic cuisine,5,0,1.0,Low
175.0,2,1,2.0,lebanese or greek,4,50,0.75,Low
155.0,1,2,3.0,Italian,4,1,0.75,Low
160.0,1,2,3.0,sushi,4,51,0.75,Low
135.0,1,1,2.0,Italian,5,1,1.0,Low
230.0,1,1,4.0,Italian ,4,4,0.75,Low
130.0,1,2,2.0,Nepali,4,53,0.75,Low
128.0,1,2,5.0,Italian,4,1,0.75,Low
200.0,1,1,2.0,Italian ,4,4,0.75,Low
170.0,2,2,2.0,,4,-1,0.75,Low
129.0,1,2,1.0,Italian ,4,4,0.75,Low
170.0,1,2,2.0,Italian ,4,4,0.75,Low
156.0,1,1,3.0,Italian ,5,4,1.0,Low
129.0,1,1,3.0,Authentic Chinese and Vietnamese food ,5,47,1.0,Low
130.0,1,1,2.0,Indian food,4,52,0.75,Low
210.0,2,1,3.0,Italian,4,1,0.75,Low
135.0,1,1,2.0,Japanese,4,41,0.75,Low
128.0,1,1,4.0,Italian ,4,4,0.75,Low
158.3801653,2,1,5.0,Spanish,4,26,0.75,Low
205.0,2,1,2.0,italian,4,2,0.75,Low
115.0,1,1,3.0,mexican,4,25,0.75,Low
180.0,2,1,2.0,Italian/German,5,23,1.0,Low
175.0,2,1,4.0,Mexican ,4,22,0.75,Low
125.0,1,2,3.0,don't have one,4,20,0.75,Low
150.0,1,1,4.0,French,4,27,0.75,Low
195.0,2,2,3.0,Indian,4,16,0.75,Low
145.0,1,1,3.0,Jamaican ,4,12,0.75,Low
110.0,1,1,3.0,Italian,5,1,1.0,Low
125.0,1,1,3.0,Italian ,5,4,1.0,Low
137.0,1,2,3.0,Anything american style.,4,7,0.75,Low
180.0,2,1,2.0,Thai,4,6,0.75,Low
158.3801653,1,1,1.0,italian,4,2,0.75,Low
155.0,1,2,3.0,Italian,4,1,0.75,Low
170.0,2,2,3.0,American or Italian ,4,13,0.75,Low
170.0,1,2,2.0,Italian,4,1,0.75,Low
150.0,1,2,3.0,italian,4,2,0.75,Low
120.0,1,1,2.0,Italian ,4,4,0.75,Low
120.0,1,1,3.0,italian ,4,17,0.75,Low
200.0,2,1,1.0,Mexican,5,15,1.0,Low
140.0,1,1,2.0,Italian ,4,4,0.75,Low
130.0,1,1,2.0,Italian,4,1,0.75,Low
125.0,1,1,2.0,American ,4,38,0.75,Low
140.0,1,1,1.0,Chinese cuisine (General Tso's),4,37,0.75,Low
180.0,1,2,3.0,Italian ,4,4,0.75,Low
135.0,2,1,3.0,Italian,4,1,0.75,Low
118.0,1,1,2.0,Mexican ,4,22,0.75,Low
135.0,1,1,2.0,Mexican ,4,22,0.75,Low
140.0,1,1,2.0,Wraps ,5,36,1.0,Low
175.0,2,1,3.0,Thai,4,6,0.75,Low
165.0,2,1,1.0,Italian,4,1,0.75,Low
200.0,2,2,1.0,Mexican ,5,22,1.0,Low
185.0,2,1,3.0,All ,5,34,1.0,Low
169.0,2,2,5.0,American,5,33,1.0,Low
170.0,1,1,1.0,Thai food,4,31,0.75,Low
145.0,2,2,5.0,Chinese,4,19,0.75,Low
135.0,1,2,2.786885246,HISPANIC CUISINE.,5,59,1.0,Low
